DB Object Symbol,GO ID,DB Object Type
NFIB,GO:0007420,protein
NFIB,GO:0045893,protein
NFIB,GO:0045944,protein
NFIB,GO:1902894,protein
E2F3,GO:0000082,protein
E2F3,GO:0006606,protein
E2F3,GO:0045944,protein
E2F3,GO:1905461,protein
PPP6C,GO:0006470,protein
PPP6C,GO:0160049,protein
WNT10B,GO:0043065,protein
WNT10B,GO:0045599,protein
WNT10B,GO:0050821,protein
WNT10B,GO:0060070,protein
WNT10B,GO:0071425,protein
NME4,GO:0006869,protein
CES2,GO:0006693,protein
MAN2B1,GO:0036211,protein
WNT7A,GO:0000578,protein
WNT7A,GO:0001502,protein
WNT7A,GO:0002062,protein
WNT7A,GO:0021846,protein
WNT7A,GO:0035115,protein
WNT7A,GO:0035116,protein
WNT7A,GO:0035313,protein
WNT7A,GO:0042733,protein
WNT7A,GO:0045893,protein
WNT7A,GO:0045944,protein
WNT7A,GO:0048864,protein
WNT7A,GO:0050768,protein
WNT7A,GO:0051247,protein
WNT7A,GO:0051965,protein
WNT7A,GO:0060054,protein
WNT7A,GO:0060070,protein
WNT7A,GO:0060071,protein
WNT7A,GO:0060997,protein
WNT7A,GO:0062009,protein
WNT7A,GO:1904891,protein
WNT7A,GO:1905606,protein
WNT7A,GO:2000463,protein
UBE2C,GO:0006511,protein
UBE2C,GO:0010458,protein
UBE2C,GO:0010994,protein
UBE2C,GO:0016567,protein
UBE2C,GO:0031145,protein
UBE2C,GO:0031536,protein
UBE2C,GO:0045842,protein
UBE2C,GO:0070936,protein
UBE2C,GO:0070979,protein
