Drug ID,Disease ID,P,P-P,P-P-P,P-GO-P,P-GO-GO-P,P-GO-P-P,P-P-GO-P,P-GO-GO-GO-P,P-GO-P-GO-P,P-P-GO-GO-P,P-P-P-GO-P,P-GO-GO-GO-GO-P,P-GO-GO-P-GO-P,P-GO-P-GO-GO-P,P-P-GO-P-GO-P,P-GO-GO-GO-GO-GO-P,P-GO-GO-GO-P-GO-P,P_Ratio,P-P_Ratio,P-P-P_Ratio,P-GO-P_Ratio,P-GO-GO-P_Ratio,P-GO-P-P_Ratio,P-P-GO-P_Ratio,P-GO-GO-GO-P_Ratio,P-GO-P-GO-P_Ratio,P-P-GO-GO-P_Ratio,P-P-P-GO-P_Ratio,P-GO-GO-GO-GO-P_Ratio,P-GO-GO-P-GO-P_Ratio,P-GO-P-GO-GO-P_Ratio,P-P-GO-P-GO-P_Ratio,P-GO-GO-GO-GO-GO-P_Ratio,P-GO-GO-GO-P-GO-P_Ratio
U205,C0973461,0,3,0,32,6,0,6,4,11,0,0,0,0,0,0,0,0,0,0.05,0,0.52,0.1,0,0.1,0.06,0.18,0,0,0,0,0,0,0,0
U477,C0000737,5,15,0,164,17,0,10,11,12,0,0,1,1,0,0,0,0,0.02,0.06,0,0.69,0.07,0,0.04,0.05,0.05,0,0,0.0,0.0,0,0,0,0
U242,C0008031,0,0,0,9,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0.17,0,0.08,0,0,0,0,0,0,0,0
U914,C0011991,2,2,0,51,13,0,2,4,2,0,0,0,0,0,0,0,0,0.03,0.03,0,0.67,0.17,0,0.03,0.05,0.03,0,0,0,0,0,0,0,0
U995,C0042571,3,18,0,271,43,0,37,18,73,0,0,3,6,4,0,0,0,0.01,0.04,0,0.57,0.09,0,0.08,0.04,0.15,0,0,0.01,0.01,0.01,0,0,0
U146,C0039070,1,7,0,47,21,0,18,1,17,0,0,1,6,3,0,0,0,0.01,0.06,0,0.39,0.17,0,0.15,0.01,0.14,0,0,0.01,0.05,0.02,0,0,0
U640,C0015967,12,4,0,59,12,0,6,4,5,0,0,0,0,0,0,0,0,0.12,0.04,0,0.58,0.12,0,0.06,0.04,0.05,0,0,0,0,0,0,0,0
U150,C0008031,6,38,0,313,49,1,53,29,78,0,1,4,7,1,0,0,0,0.01,0.07,0,0.54,0.08,0.0,0.09,0.05,0.13,0,0.0,0.01,0.01,0.0,0,0,0
U820,C0030193,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0
U206,C0020429,22,14,0,177,24,0,15,7,15,0,0,0,0,0,0,0,0,0.08,0.05,0,0.65,0.09,0,0.05,0.03,0.05,0,0,0,0,0,0,0,0
