node,type
ATP6V1H,gene
ATP7A,gene
ATP7B,gene
ATP8A1,gene
ATP8A2,gene
ATP8B1,gene
ATP8B2,gene
ATP8B3,gene
ATP8B4,gene
ATP9A,gene
ATP9B,gene
ATPAF1,gene
ATPAF2,gene
ATPSCKMT,gene
ATR,gene
ATRAID,gene
ATRIP,gene
ATRN,gene
ATRNL1,gene
ATRX,gene
ATXN1,gene
ATXN10,gene
ATXN1L,gene
ATXN2,gene
ATXN2L,gene
ATXN3,gene
ATXN3L,gene
ATXN7,gene
ATXN7L1,gene
ATXN7L2,gene
ATXN7L3,gene
ATXN7L3B,gene
AUH,gene
AUNIP,gene
AUP1,gene
AURKA,gene
AURKAIP1,gene
AURKB,gene
AURKC,gene
AUTS2,gene
AVEN,gene
AVIL,gene
AVL9,gene
AVP,gene
AVPI1,gene
AVPR1A,gene
AVPR1B,gene
AVPR2,gene
AWAT1,gene
AWAT2,gene
AXDND1,gene
AXIN1,gene
AXIN2,gene
AXL,gene
AZGP1,gene
AZI2,gene
AZIN1,gene
AZIN2,gene
AZU1,gene
B2M,gene
B3GALNT1,gene
B3GALNT2,gene
B3GALT1,gene
B3GALT2,gene
B3GALT4,gene
B3GALT5,gene
B3GALT6,gene
B3GAT1,gene
B3GAT2,gene
B3GAT3,gene
B3GLCT,gene
B3GNT2,gene
B3GNT3,gene
B3GNT4,gene
B3GNT5,gene
B3GNT6,gene
B3GNT7,gene
B3GNT8,gene
B3GNT9,gene
B3GNTL1,gene
B4GALNT1,gene
B4GALNT2,gene
B4GALNT3,gene
B4GALNT4,gene
B4GALT1,gene
B4GALT2,gene
B4GALT3,gene
B4GALT4,gene
B4GALT5,gene
B4GALT6,gene
B4GALT7,gene
B4GAT1,gene
B9D1,gene
B9D2,gene
BAALC,gene
BAAT,gene
BABAM1,gene
BABAM2,gene
BACE1,gene
BACE2,gene
BACH1,gene
BACH2,gene
BAD,gene
BAG1,gene
BAG2,gene
BAG3,gene
BAG4,gene
BAG5,gene
BAG6,gene
BAGE,gene
BAGE2,gene
BAGE3,gene
BAGE4,gene
BAHCC1,gene
BAHD1,gene
BAIAP2,gene
BAIAP2L1,gene
BAIAP2L2,gene
BAIAP3,gene
BAK1,gene
BAMBI,gene
BANF1,gene
BANF2,gene
BANK1,gene
BANP,gene
BAP1,gene
BARD1,gene
BARHL1,gene
BARHL2,gene
BARX1,gene
BARX2,gene
BASP1,gene
BATF,gene
BATF2,gene
BATF3,gene
BAX,gene
BAZ1A,gene
BAZ1B,gene
BAZ2A,gene
BAZ2B,gene
BBC3,gene
BBIP1,gene
BBLN,gene
BBOF1,gene
BBOX1,gene
BBS1,gene
BBS10,gene
BBS12,gene
BBS2,gene
BBS4,gene
BBS5,gene
BBS7,gene
BBS9,gene
BBX,gene
BCAM,gene
BCAN,gene
BCAP29,gene
BCAP31,gene
BCAR1,gene
BCAR3,gene
BCAS1,gene
BCAS2,gene
BCAS3,gene
BCAS4,gene
BCAT1,gene
BCAT2,gene
BCCIP,gene
BCDIN3D,gene
BCHE,gene
BCKDHA,gene
BCKDHB,gene
BCKDK,gene
BCL10,gene
BCL11A,gene
BCL11B,gene
BCL2,gene
BCL2A1,gene
BCL2L1,gene
BCL2L10,gene
BCL2L11,gene
BCL2L12,gene
BCL2L13,gene
BCL2L14,gene
BCL2L15,gene
BCL2L2,gene
BCL3,gene
BCL6,gene
BCL6B,gene
BCL7A,gene
BCL7B,gene
BCL7C,gene
BCL9,gene
BCL9L,gene
BCLAF1,gene
BCLAF3,gene
BCO1,gene
BCO2,gene
BCOR,gene
BCORL1,gene
BCR,gene
BCS1L,gene
BDH1,gene
BDH2,gene
BDKRB1,gene
BDKRB2,gene
BDNF,gene
BDP1,gene
BECN1,gene
BECN2,gene
BEGAIN,gene
BEND2,gene
BEND3,gene
BEND4,gene
BEND5,gene
BEND6,gene
BEND7,gene
BEST1,gene
BEST2,gene
BEST3,gene
BEST4,gene
BET1,gene
BET1L,gene
BEX1,gene
BEX2,gene
BEX3,gene
BEX4,gene
BEX5,gene
BFAR,gene
BFSP1,gene
BFSP2,gene
BGLAP,gene
BGN,gene
BHLHA15,gene
BHLHA9,gene
BHLHB9,gene
BHLHE22,gene
BHLHE23,gene
BHLHE40,gene
BHLHE41,gene
BHMT,gene
BHMT2,gene
BICC1,gene
BICD1,gene
BICD2,gene
BICDL1,gene
BICDL2,gene
BICRA,gene
BICRAL,gene
BID,gene
BIK,gene
