ChemicalName,ChemicalID,CasRN,GeneSymbol,GeneID,GeneForms,Organism,OrganismID,Interaction,InteractionActions,PubMedIDs
Ascorbic Acid,D001205,50-81-7,S100A2,6273,protein,Homo sapiens,9606,Ascorbic Acid inhibits the reaction [Copper promotes the reaction [S100A2 protein binds to S100A2 protein]],affects^binding|decreases^reaction|increases^reaction,21924240
Ascorbic Acid,D001205,50-81-7,S100A4,6275,protein,Homo sapiens,9606,Ascorbic Acid inhibits the reaction [Copper promotes the reaction [S100A4 protein binds to S100A4 protein]],affects^binding|decreases^reaction|increases^reaction,21924240
Ascorbic Acid,D001205,50-81-7,VHL,7428,protein,Homo sapiens,9606,[benzyloxycarbonylleucyl-leucyl-leucine aldehyde co-treated with Ketoglutaric Acids co-treated with Ascorbic Acid co-treated with ferrous chloride] promotes the reaction [VHL protein binds to HIF1A protein],affects^binding|affects^cotreatment|increases^reaction,19263519
Ascorbic Acid,D001205,50-81-7,WNT3A,89780,protein,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in decreased expression of ABCC1 mRNA,affects^binding|affects^cotreatment|decreases^expression,34480604
aseanostatin P5,C069642,5502-94-3,NMUR1,10316,protein,Homo sapiens,9606,aseanostatin P5 binds to and results in increased activity of NMUR1 protein,affects^binding|increases^activity,31378678
aseanostatin P5,C069642,5502-94-3,UTS2R,2837,protein,Homo sapiens,9606,aseanostatin P5 binds to and results in increased activity of UTS2R protein,affects^binding|increases^activity,31378678
asoxime chloride,C022870,,ACHE,43,protein,Homo sapiens,9606,asoxime chloride binds to ACHE protein,affects^binding,20412789
asoxime chloride,C022870,,BCHE,590,protein,Homo sapiens,9606,asoxime chloride binds to and results in decreased activity of BCHE protein,affects^binding|decreases^activity,27693733
Aspartame,D001218,22839-47-0,TAS1R1,80835,protein,Homo sapiens,9606,Aspartame promotes the reaction [TAS1R3 protein binds to TAS1R1 protein],affects^binding|increases^reaction,33992720
Aspartame,D001218,22839-47-0,TAS1R2,80834,protein,Homo sapiens,9606,Aspartame binds to and results in increased activity of TAS1R2 protein,affects^binding|increases^activity,20173092
Aspartame,D001218,22839-47-0,TAS1R3,83756,protein,Homo sapiens,9606,Aspartame binds to [TAS1R2 protein binds to TAS1R3 protein],affects^binding,17168764
aspartyl-glutamyl-valyl-aspartal,C108637,,AKT1,207,protein,Homo sapiens,9606,aspartyl-glutamyl-valyl-aspartal inhibits the reaction [Arsenic Trioxide promotes the reaction [AKT1 protein binds to PPP2CA protein]],affects^binding|decreases^reaction|increases^reaction,21655183
aspartyl-glutamyl-valyl-aspartal,C108637,,PPP2CA,5515,protein,Homo sapiens,9606,aspartyl-glutamyl-valyl-aspartal inhibits the reaction [Arsenic Trioxide promotes the reaction [AKT1 protein binds to PPP2CA protein]],affects^binding|decreases^reaction|increases^reaction,21655183
asperphenamate,C014343,63631-36-7,CTSL,1514,protein,Homo sapiens,9606,asperphenamate analog binds to and results in decreased activity of CTSL protein,affects^binding|decreases^activity,30253340
asperphenamate,C014343,63631-36-7,CTSS,1520,protein,Homo sapiens,9606,asperphenamate analog binds to and results in decreased activity of CTSS protein,affects^binding|decreases^activity,30253340
Aspirin,D001241,50-78-2,ALB,213,protein,Homo sapiens,9606,ALB protein binds to and affects the transport of Aspirin,affects^binding|affects^transport,8831264
Aspirin,D001241,50-78-2,CALM1,801,protein,Homo sapiens,9606,Aspirin promotes the reaction [NOS3 protein binds to CALM1 protein],affects^binding|increases^reaction,20705923
Aspirin,D001241,50-78-2,CEBPB,1051,protein,Homo sapiens,9606,Aspirin promotes the reaction [CEBPB protein binds to IL4 promoter polymorphism],affects^binding|increases^reaction,20921925
Aspirin,D001241,50-78-2,E2F1,1869,protein,Homo sapiens,9606,Aspirin inhibits the reaction [E2F1 protein binds to BIRC5 promoter],affects^binding|decreases^reaction,17848598
Aspirin,D001241,50-78-2,FOSL1,8061,protein,Homo sapiens,9606,Aspirin promotes the reaction [FOSL1 protein binds to PLAUR promoter],affects^binding|increases^reaction,16893520
Aspirin,D001241,50-78-2,H4C16,121504,protein,Homo sapiens,9606,Aspirin promotes the reaction [H4C16 protein modified form binds to PLAUR promoter],affects^binding|increases^reaction,16893520
Aspirin,D001241,50-78-2,HDAC3,8841,protein,Homo sapiens,9606,HDAC3 protein inhibits the reaction [Aspirin promotes the reaction [NOS3 protein binds to CALM1 protein]],affects^binding|decreases^reaction|increases^reaction,20705923
Aspirin,D001241,50-78-2,IFNG,3458,protein,Homo sapiens,9606,Aspirin inhibits the reaction [[Lipopolysaccharides co-treated with IFNG protein] results in increased secretion of [IL12A protein binds to IL12B protein]],affects^binding|affects^cotreatment|decreases^reaction|increases^secretion,15379866
Aspirin,D001241,50-78-2,IL12A,3592,protein,Homo sapiens,9606,Aspirin inhibits the reaction [[Lipopolysaccharides co-treated with IFNG protein] results in increased secretion of [IL12A protein binds to IL12B protein]],affects^binding|affects^cotreatment|decreases^reaction|increases^secretion,15379866
Aspirin,D001241,50-78-2,IL12B,3593,protein,Homo sapiens,9606,Aspirin inhibits the reaction [[Lipopolysaccharides co-treated with IFNG protein] results in increased secretion of [IL12A protein binds to IL12B protein]],affects^binding|affects^cotreatment|decreases^reaction|increases^secretion,15379866
Aspirin,D001241,50-78-2,ITGA2B,3674,protein,Homo sapiens,9606,Aspirin results in decreased expression of [ITGA2B protein binds to ITGB2 protein],affects^binding|decreases^expression,15140583
Aspirin,D001241,50-78-2,ITGB2,3689,protein,Homo sapiens,9606,Aspirin results in decreased expression of [ITGA2B protein binds to ITGB2 protein],affects^binding|decreases^expression,15140583
Aspirin,D001241,50-78-2,ITGB3,3690,protein,Homo sapiens,9606,Aspirin results in decreased expression of [ITGA2B protein binds to ITGB3 protein],affects^binding|decreases^expression,15381054
Aspirin,D001241,50-78-2,JUN,3725,protein,Homo sapiens,9606,Aspirin promotes the reaction [JUN protein binds to PLAUR promoter],affects^binding|increases^reaction,16893520
Aspirin,D001241,50-78-2,LDLR,3949,protein,Homo sapiens,9606,"Aspirin promotes the reaction [Cholesterol, LDL binds to LDLR protein]",affects^binding|increases^reaction,10395027
Aspirin,D001241,50-78-2,NFKB1,4790,protein,Homo sapiens,9606,Aspirin inhibits the reaction [TNF protein results in increased activity of [NFKB1 protein binds to RELA protein]],affects^binding|decreases^reaction|increases^activity,15489888
Aspirin,D001241,50-78-2,NOS3,4846,protein,Homo sapiens,9606,Aspirin promotes the reaction [NOS3 protein binds to CALM1 protein],affects^binding|increases^reaction,20705923
Aspirin,D001241,50-78-2,RELA,5970,protein,Homo sapiens,9606,Aspirin inhibits the reaction [TNF protein results in increased activity of [NFKB1 protein binds to RELA protein]],affects^binding|decreases^reaction|increases^activity,15489888
Aspirin,D001241,50-78-2,TNF,7124,protein,Homo sapiens,9606,Aspirin inhibits the reaction [TNF protein results in increased activity of [NFKB1 protein binds to RELA protein]],affects^binding|decreases^reaction|increases^activity,15489888
"Aspirin, Dipyridamole Drug Combination",D000068342,,ITGA2B,3674,protein,Homo sapiens,9606,"Aspirin, Dipyridamole Drug Combination results in decreased expression of [ITGA2B protein binds to ITGB3 protein]",affects^binding|decreases^expression,15381054
"Aspirin, Dipyridamole Drug Combination",D000068342,,ITGB3,3690,protein,Homo sapiens,9606,"Aspirin, Dipyridamole Drug Combination results in decreased expression of [ITGA2B protein binds to ITGB3 protein]",affects^binding|decreases^expression,15381054
Astemizole,D016589,68844-77-9,KCNH1,3756,protein,Homo sapiens,9606,Astemizole binds to and results in decreased activity of KCNH1 protein,affects^binding|decreases^activity,18497958
Astemizole,D016589,68844-77-9,KCNH2,3757,protein,Homo sapiens,9606,Astemizole binds to and results in decreased activity of KCNH2 protein,affects^binding|decreases^activity,10376921|11705456|12388285|15272206|9658196
Astemizole,D016589,68844-77-9,MAPT,4137,protein,Homo sapiens,9606,Astemizole binds to MAPT protein alternative form,affects^binding,20110603
astressin,C104416,170809-51-5,CRHR1,1394,protein,Homo sapiens,9606,astressin binds to and results in decreased activity of CRHR1 protein,affects^binding|decreases^activity,16014403
astressin,C104416,170809-51-5,CRHR2,1395,protein,Homo sapiens,9606,astressin binds to and results in decreased activity of CRHR2 protein,affects^binding|decreases^activity,16014403
astressin B,C120841,,CRHR2,1395,protein,Homo sapiens,9606,astressin B binds to and results in decreased activity of CRHR2 protein,affects^binding|decreases^activity,16014403
