node_1,node_2_name
DB00505,CHRM1
DB09262,CHRM1
trepibutone,CHRM1
caramiphen,CHRM1
icatibant-acetate,ANPEP
aceclidine,CHRM4
vinburnine,CHRM4
trepibutone,CHRM4
sodium-oxybate,SLC52A2
DB00587,CYSLTR1
DB01411,CYSLTR1
DB01411,CYSLTR2
minodronic-acid,GGPS1
DB00311,CA6
DB04665,CA6
DB04552,CLCN1
DB05266,PDE4C
DB09283,PDE4C
DB09273,PDE4C
L-Arginine,AZIN2
DB00125,AZIN2
DB09283,PDE2A
DB08811,PDE2A
DB04216,UGT3A1
hyaluronic-acid,HAPLN3
DB01265,TK2
DB08873,CTSF
DB00117,HAL
L-Arginine,SLC7A3
DB00125,SLC7A3
azelaic-acid,AKR1D1
DB09283,PDE7A
DB00463,GABRE
DB00546,GABRE
DB11582,GABRE
DB02709,ALOX15
L-Arginine,ARG2
DB00125,ARG2
DB09304,HTR3E
DB09304,HTR3C
ipragliflozin-l-proline,SLC5A2
DB09283,PDE8A
DB01140,SLC15A2
DB01060,SLC15A2
tannic-acid,ANO1
DB04552,ANO1
DB04552,CLCNKA
DB09283,PDE8B
DB08802,HRH1
DB08922,HRH1
DB08800,HRH1
benztropine-mesylate,HRH1
DB07615,HRH1
DB09286,HRH1
DB11742,HRH1
DB09304,HRH1
DB01071,HRH1
DB01615,HRH1
ammonium-lactate,HCAR1
sodium-oxybate,HCAR1
DB01140,SLC22A8
DB08826,UGT1A6
DB00311,CA5A
DB09283,PDE1C
DB04552,UGT1A9
DB00976,CYP3A7
DB08986,GABRA5
DB01352,GABRA5
DB00463,GABRA5
DB00546,GABRA5
DB01483,GABRA5
DB11582,GABRA5
DB09290,HTR3A
DB08839,HTR3A
DB09304,HTR3A
DB11753,SLCO1B1
DB01140,SLC15A1
DB01060,SLC15A1
DB12863,CELA1
DB02709,CLEC14A
DB13169,CYP19A1
DB04572,CYP2B6
DB09304,HTR3D
DB05266,PDE5A
DB11792,PDE5A
DB09283,PDE5A
DB11753,SLCO1B3
hyaluronic-acid,HABP2
DB08961,SLC12A1
DB00232,SLC12A1
DB02709,CSNK2A1
DB00117,HARS1
DB00133,SARS1
DB02709,YARS1
DB09288,CNR1
DB04216,ATP5F1C
DB09229,ADRA1A
DB01295,ADRA1A
DB08922,ADRA1A
DB01622,ADRA1A
DB09286,ADRA1A
azelaic-acid,SRD5A2
DB06479,PDE1A
DB09283,PDE1A
desmopressin-acetate,OXTR
DB11582,TNFSF11
DB04216,ATP5F1A
DB00167,IARS1
fludrocortisone-acetate,NR3C2
DB09015,NR3C2
desoxycorticosterone-pivalate,NR3C2
DB00546,GABRR2
DB00463,GABRG2
DB00546,GABRG2
DB09166,GABRG2
DB11582,GABRG2
DB00117,HDC
DB00463,GABRB2
DB00546,GABRB2
DB11582,GABRB2
DB09283,PDE6C
DB04216,ATP5F1B
xipamide,SLC12A3
DB00232,SLC12A3
DB09283,PDE11A
DB04894,SSTR5
ethanolamine-oleate,FFAR1
