Drug,gene_num_total,gene_num_in_graph
DB00947,1,1
DB00949,2,2
DB00950,1,1
DB00951,4,4
DB00952,4,4
DB00953,6,6
DB00956,3,3
DB00957,3,3
DB00959,2,2
DB00960,5,5
DB00962,1,1
DB00963,2,2
DB00964,3,3
DB00966,2,2
DB00967,1,1
DB00968,3,3
DB00969,1,1
DB00970,3,3
DB00972,4,4
DB00973,3,3
DB00975,6,6
DB00977,2,2
DB00978,2,2
DB00979,2,2
DB00980,2,2
DB00981,3,3
DB00982,2,2
DB00983,3,3
DB00984,1,1
DB00985,1,1
DB00986,5,5
DB00987,1,1
DB00988,15,15
DB00989,2,2
DB00990,1,1
DB00991,2,2
DB00993,2,2
DB00994,1,1
DB00995,5,5
DB00996,8,8
DB00997,5,5
DB00998,2,2
DB00999,3,3
DB01001,3,3
DB01003,2,2
DB01005,2,2
DB01006,1,1
DB01009,3,3
DB01010,2,2
DB01011,1,1
DB01012,1,1
DB01013,3,3
DB01014,4,4
DB01016,9,9
DB01017,21,21
DB01018,2,2
DB01019,5,5
DB01020,1,1
DB01021,6,6
DB01022,2,2
DB01023,13,13
DB01024,2,2
DB01025,5,5
DB01026,6,6
DB01029,2,2
DB01030,2,2
DB01031,2,2
DB01032,5,5
DB01033,4,4
DB01035,3,3
DB01036,5,5
DB01037,3,3
DB01039,3,3
DB01041,4,4
DB01043,26,26
DB01045,1,1
DB01046,1,1
DB01047,5,5
DB01049,30,30
DB01050,13,13
DB01053,3,3
DB01056,1,1
DB01057,2,2
DB01059,2,2
DB01062,3,3
DB01063,2,2
DB01064,5,5
DB01065,10,10
DB01067,3,3
DB01068,17,17
DB01069,88,88
DB01070,1,1
DB01073,4,4
DB01074,4,4
DB01075,3,3
DB01076,5,5
DB01077,5,5
DB01078,1,1
DB01079,4,4
DB01080,1,1
DB01081,2,2
DB01082,1,1
DB01083,4,4
DB01084,1,1
DB01085,5,5
DB01086,1,1
DB01088,9,9
DB01089,2,2
DB01090,4,4
DB01092,3,3
DB01095,2,2
DB01097,3,3
DB01098,2,2
DB01099,1,1
DB01100,4,4
DB01101,1,1
DB01102,3,3
DB01104,6,6
DB01105,3,3
DB01106,2,2
DB01107,16,16
DB01108,4,4
DB01109,12,12
DB01110,69,69
DB01113,6,6
DB01114,4,4
DB01115,10,10
DB01117,1,1
DB01118,20,20
DB01119,7,7
DB01120,2,2
DB01121,1,1
DB01122,1,1
DB01124,3,3
DB01125,2,2
DB01126,3,3
DB01128,1,1
DB01129,1,1
DB01130,4,4
DB01132,2,2
DB01133,27,27
DB01136,18,18
DB01138,4,4
DB01142,19,19
DB01143,1,1
DB01144,5,5
DB01146,2,2
DB01148,3,3
DB01149,10,10
DB01151,21,21
DB01156,5,5
DB01157,2,2
DB01158,2,2
DB01162,7,7
DB01164,1,1
DB01165,1,1
DB01166,1,1
DB01168,2,2
DB01169,10,10
DB01170,1,1
DB01171,2,2
DB01173,7,7
DB01174,13,13
DB01175,15,15
